id_student,code_module,presentation_year,presentation_term,gender,region,highest_education,imd_band,age_band,num_prev_attempts,studied_credits,disability,date_registration,final_weighted_score,total_assessments_submitted,total_clicks,unique_materials_accessed,unemployment_rate,avg_broadband_speed,is_at_risk
100282,BBB,2013,J,F,Wales,Lower Than A Level,20-30%,0-35,1,120,N,-54,78,1,42,9,8.4,12.17,1
101279,DDD,2014,J,F,Yorkshire Region,A Level or Equivalent,0-10%,35-55,0,60,N,-144,55,1,112,27,7.3,17.42,1
101700,CCC,2014,J,M,London Region,A Level or Equivalent,10-20%,0-35,0,60,Y,-49,0,0,0,0,6.8,24.22,1
104213,FFF,2013,J,M,South West Region,A Level or Equivalent,70-80%,0-35,0,60,N,-92,93,12,2245,146,6.1,13.66,0
104316,FFF,2014,B,M,London Region,A Level or Equivalent,70-80%,0-35,0,60,N,-37,68.5,6,928,121,6.8,24.22,1
104772,DDD,2014,J,M,South West Region,A Level or Equivalent,70-80%,35-55,1,60,N,-50,70.73,5,341,28,5.2,16.09,1
108789,DDD,2013,J,M,London Region,A Level or Equivalent,10-20%,0-35,0,70,Y,-165,27,1,102,17,8.9,20.16,1
109372,BBB,2013,J,F,South West Region,Lower Than A Level,30-40%,0-35,0,60,N,-141,79.51,11,1450,44,6.1,13.66,0
110200,DDD,2013,B,F,London Region,Lower Than A Level,70-80%,0-35,0,90,N,-93,50.69,6,157,36,8.9,20.16,1
117071,BBB,2013,B,M,London Region,A Level or Equivalent,40-50%,35-55,0,60,N,-25,48.84,2,74,8,8.9,20.16,1
119444,BBB,2014,J,F,East Midlands Region,Lower Than A Level,20-30%,0-35,0,120,N,-28,0,1,83,12,6.5,18.97,1
121056,GGG,2013,J,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,30,N,-81,0,1,17,4,9,15.95,1
122459,GGG,2013,J,F,East Anglian Region,Lower Than A Level,40-50%,0-35,0,90,N,-141,0,9,270,29,6.2,16.41,0
123087,BBB,2014,J,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,120,N,-162,65.35,5,470,47,7.1,19.62,0
123497,DDD,2013,J,M,East Anglian Region,A Level or Equivalent,70-80%,0-35,1,60,N,-72,75,2,497,59,6.2,16.41,1
123957,DDD,2014,J,F,North Western Region,Lower Than A Level,70-80%,0-35,1,60,N,-39,66,4,64,21,7,18.58,1
125830,DDD,2014,J,F,South West Region,HE Qualification,40-50%,35-55,0,120,Y,-9,64.6,4,1810,111,5.2,16.09,1
126912,DDD,2013,B,M,East Midlands Region,A Level or Equivalent,80-90%,35-55,1,60,N,-143,53.05,7,0,0,7.9,15.19,1
128132,FFF,2014,B,M,London Region,A Level or Equivalent,80-90%,0-35,0,60,N,-47,79,12,1357,99,6.8,24.22,0
128791,FFF,2013,B,M,West Midlands Region,Lower Than A Level,70-80%,35-55,0,60,N,-23,60,3,1235,93,9,15.95,1
128971,EEE,2014,B,M,East Midlands Region,HE Qualification,80-90%,0-35,0,30,N,-26,84.32,4,1982,55,6.5,18.97,0
129212,GGG,2013,J,F,South Region,Lower Than A Level,80-90%,0-35,0,30,N,-109,0,8,1427,47,6,15.25,0
131609,DDD,2013,B,M,North Western Region,Lower Than A Level,40-50%,35-55,0,90,N,-16,30,1,454,57,8.5,15.1,1
131663,CCC,2014,J,M,Scotland,A Level or Equivalent,40-50%,0-35,1,30,N,-18,0,0,58,20,6,14.59,1
132401,DDD,2013,J,M,Yorkshire Region,Lower Than A Level,70-80%,0-35,0,60,N,-90,62.42,5,996,113,8.6,14.59,1
133365,DDD,2014,J,F,East Midlands Region,A Level or Equivalent,10-20%,35-55,0,60,N,-45,74.75,7,2110,159,6.5,18.97,0
133531,BBB,2013,B,F,Wales,Lower Than A Level,30-40%,0-35,0,60,N,-24,0,0,0,0,8.4,12.17,1
134847,FFF,2013,J,M,Scotland,HE Qualification,30-40%,0-35,0,120,N,-33,62,2,395,51,7.1,11.71,1
134920,DDD,2014,J,F,South Region,A Level or Equivalent,50-60%,0-35,0,60,N,-32,37.28,7,236,56,5,18.12,1
137281,CCC,2014,J,F,South Region,A Level or Equivalent,40-50%,35-55,0,180,N,-129,63,2,1040,52,5,18.12,1
138704,DDD,2014,B,M,South West Region,A Level or Equivalent,80-90%,0-35,0,60,N,-17,72.36,7,1298,125,5.2,16.09,0
139278,FFF,2013,J,M,Yorkshire Region,Lower Than A Level,0-10%,35-55,0,60,N,-169,86.67,11,1881,123,8.6,14.59,1
140938,GGG,2014,J,F,South West Region,A Level or Equivalent,30-40%,0-35,0,90,N,-49,0,0,0,0,5.2,16.09,1
141301,EEE,2013,J,M,West Midlands Region,Lower Than A Level,10-20%,0-35,0,150,N,-159,0,0,0,0,9,15.95,1
141497,DDD,2014,B,M,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,-103,67,1,491,45,7,18.58,1
142324,BBB,2013,B,F,East Anglian Region,Lower Than A Level,30-40%,35-55,0,60,N,-23,66.48,7,199,18,6.2,16.41,1
142324,BBB,2014,J,F,East Anglian Region,Lower Than A Level,30-40%,35-55,1,120,N,-65,72.2,5,579,54,5.6,20.01,0
144908,DDD,2014,B,M,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,-71,84,1,342,40,5.6,20.01,1
144959,FFF,2013,J,M,Ireland,A Level or Equivalent,90-100%,0-35,0,120,N,-143,88,1,412,44,7.5,18.21,1
145280,BBB,2014,J,F,East Midlands Region,Lower Than A Level,20-30%,35-55,1,60,N,-116,55.6,5,662,69,6.5,18.97,0
146503,AAA,2014,J,M,East Anglian Region,Lower Than A Level,30-40%,35-55,0,120,Y,-30,61.9,5,368,30,5.6,20.01,0
148515,DDD,2013,J,F,Scotland,Lower Than A Level,30-40%,0-35,1,60,N,-164,0,0,28,11,7.1,11.71,1
149680,FFF,2013,B,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,1,120,N,-135,86.5,12,5338,191,6.2,16.41,0
151358,AAA,2013,J,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,-44,49.6,5,270,31,8.9,20.16,0
153788,EEE,2013,J,M,North Western Region,No Formal quals,20-30%,0-35,0,60,N,-153,67.52,4,3100,49,8.5,15.1,1
154073,DDD,2014,J,M,South East Region,A Level or Equivalent,80-90%,0-35,0,90,N,-149,36,7,343,88,5,20.14,1
155158,FFF,2014,B,M,London Region,A Level or Equivalent,40-50%,0-35,0,60,N,-27,73.25,12,2386,104,6.8,24.22,0
155550,AAA,2013,J,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,-16,66,5,1529,59,8.9,20.16,0
160005,DDD,2013,B,F,Scotland,HE Qualification,10-20%,35-55,0,60,N,-89,79.69,14,3922,219,7.1,11.71,0
160720,FFF,2013,J,M,Wales,Lower Than A Level,0-10%,0-35,1,90,N,-73,0,0,9,2,8.4,12.17,1
163962,FFF,2014,B,M,Yorkshire Region,A Level or Equivalent,60-70%,0-35,3,120,N,-96,0,1,19,4,7.3,17.42,1
164211,GGG,2014,B,F,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,30,N,-24,0,9,481,53,5.6,20.01,0
165178,DDD,2014,B,F,West Midlands Region,A Level or Equivalent,40-50%,0-35,1,120,N,-72,46.32,6,357,56,7.1,19.62,1
165733,CCC,2014,B,M,Scotland,A Level or Equivalent,20-30%,0-35,0,90,Y,-79,23.14,4,1011,59,6,14.59,1
167106,FFF,2014,B,M,East Anglian Region,Lower Than A Level,30-40%,35-55,2,60,N,-79,53.5,12,2761,128,5.6,20.01,0
167123,DDD,2013,B,M,South East Region,Lower Than A Level,20-30%,0-35,1,160,N,-136,0,0,0,0,6,16.83,1
167945,DDD,2014,J,F,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,90,N,-30,48.2,3,479,76,7.3,17.42,1
167961,AAA,2014,J,M,South West Region,HE Qualification,70-80%,55<=,0,60,N,-44,76.3,5,2129,76,5.2,16.09,0
168243,DDD,2013,B,M,Wales,Lower Than A Level,20-30%,0-35,2,180,Y,-99,6.32,2,161,43,8.4,12.17,1
172797,AAA,2013,J,F,Ireland,A Level or Equivalent,0-10%,35-55,0,60,N,-45,61.4,5,1782,85,7.5,18.21,0
172965,DDD,2014,B,M,Scotland,Post Graduate Qualification,60-70%,35-55,1,150,N,-144,0,0,12,3,6,14.59,1
174010,EEE,2013,J,M,East Midlands Region,Lower Than A Level,10-20%,0-35,0,30,N,-47,83,3,1675,41,7.9,15.19,1
174512,EEE,2014,B,M,West Midlands Region,Lower Than A Level,90-100%,0-35,0,60,N,-173,0,0,0,0,7.1,19.62,1
174807,CCC,2014,B,F,South West Region,HE Qualification,20-30%,35-55,0,90,N,-106,0,0,0,0,5.2,16.09,1
178118,FFF,2013,J,M,South Region,A Level or Equivalent,40-50%,0-35,0,120,N,-114,61.5,6,1120,40,6,15.25,1
178639,DDD,2013,B,M,North Western Region,Lower Than A Level,0-10%,35-55,0,60,N,-85,0,0,0,0,8.5,15.1,1
178963,BBB,2013,J,M,South West Region,A Level or Equivalent,70-80%,0-35,0,120,Y,-8,65,10,118,19,6.1,13.66,0
179904,CCC,2014,B,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,90,N,-215,0,0,17,5,7,18.58,1
180651,DDD,2013,J,M,Yorkshire Region,Lower Than A Level,70-80%,0-35,0,60,N,-60,81.44,7,890,184,8.6,14.59,0
180974,FFF,2013,J,M,South West Region,A Level or Equivalent,40-50%,35-55,1,60,N,-80,73.5,12,4505,190,6.1,13.66,0
183331,CCC,2014,B,M,Ireland,Lower Than A Level,0-10%,0-35,0,90,N,-88,0,0,98,11,6.1,19.78,1
184627,FFF,2014,J,F,London Region,HE Qualification,0-10%,35-55,4,240,N,-155,32,1,433,49,6.8,24.22,1
186380,FFF,2013,B,M,East Anglian Region,HE Qualification,90-100%,0-35,0,60,N,-23,88.25,12,4468,216,6.2,16.41,0
188251,CCC,2014,J,M,North Region,Lower Than A Level,10-20%,0-35,0,30,Y,-9,67.47,6,603,38,7.7,19.89,1
190418,FFF,2014,B,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,120,N,-204,85.75,12,6673,210,5.6,20.01,0
190565,BBB,2014,B,F,Wales,Lower Than A Level,20-30%,35-55,0,60,Y,-29,66.11,11,262,37,6.7,14.8,0
191000,CCC,2014,B,M,Scotland,Post Graduate Qualification,80-90%,0-35,0,60,N,-124,0,0,95,10,6,14.59,1
191000,EEE,2014,J,M,Scotland,Post Graduate Qualification,80-90%,0-35,1,30,N,-38,84.44,3,0,0,6,14.59,1
191235,GGG,2014,B,F,East Anglian Region,Lower Than A Level,80-90%,0-35,0,30,N,-157,0,0,0,0,5.6,20.01,1
195515,FFF,2014,B,F,London Region,A Level or Equivalent,60-70%,0-35,0,120,N,-29,77.25,12,1618,88,6.8,24.22,0
195897,EEE,2014,J,M,South East Region,Lower Than A Level,60-70%,0-35,0,60,N,-14,93,3,1678,56,5,20.14,0
198691,FFF,2013,J,M,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,-86,14,1,277,30,9,15.95,1
198953,DDD,2013,J,F,Wales,Lower Than A Level,60-70%,35-55,2,180,N,-143,0,0,0,0,8.4,12.17,1
201655,BBB,2014,J,F,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,60,N,-45,0,0,0,0,7.3,17.42,1
202138,DDD,2014,J,F,London Region,A Level or Equivalent,40-50%,35-55,0,90,N,-117,73,4,348,38,6.8,24.22,1
202489,DDD,2014,J,M,Yorkshire Region,Lower Than A Level,0-10%,0-35,1,120,N,-43,70,3,571,82,7.3,17.42,1
204117,FFF,2014,J,M,London Region,Lower Than A Level,70-80%,0-35,0,60,Y,-66,88,4,1220,66,6.8,24.22,1
204182,DDD,2013,J,M,South West Region,A Level or Equivalent,90-100%,0-35,1,60,N,-200,54.83,7,964,105,6.1,13.66,0
204410,DDD,2014,J,F,South West Region,Lower Than A Level,90-100%,0-35,0,120,N,-161,85.63,7,3367,155,5.2,16.09,0
204725,CCC,2014,B,M,South Region,A Level or Equivalent,90-100%,0-35,0,30,N,-80,59.28,9,2136,72,5,18.12,0
204738,GGG,2014,B,M,North Western Region,HE Qualification,0-10%,35-55,0,90,N,-10,0,9,2105,46,7,18.58,0
205425,CCC,2014,B,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,N,-244,89.62,9,1736,83,5.6,20.01,0
227499,AAA,2013,J,F,London Region,A Level or Equivalent,10-20%,35-55,0,60,N,-169,83.5,5,2953,86,8.9,20.16,0
227517,AAA,2013,J,M,Ireland,HE Qualification,0-10%,0-35,0,180,N,-172,61.7,5,1205,59,7.5,18.21,1
228082,AAA,2013,J,M,London Region,HE Qualification,60-70%,0-35,0,60,N,-31,74.8,5,227,24,8.9,20.16,0
228258,FFF,2014,B,M,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,-108,60.25,12,1534,112,5,20.14,1
228633,FFF,2014,J,M,West Midlands Region,Lower Than A Level,50-60%,0-35,0,110,N,-68,81.5,12,2457,131,7.1,19.62,0
231959,BBB,2013,J,F,North Region,Lower Than A Level,20-30%,35-55,1,180,N,-50,54.02,5,271,39,9.7,16.22,1
232078,EEE,2014,J,M,Yorkshire Region,HE Qualification,10-20%,35-55,0,30,N,-24,56,1,112,13,7.3,17.42,1
232675,FFF,2013,B,M,West Midlands Region,HE Qualification,50-60%,0-35,1,120,N,-19,62,3,769,64,9,15.95,1
232833,CCC,2014,B,M,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,60,N,-12,53.09,2,151,18,6.5,18.97,1
233444,CCC,2014,J,M,London Region,Lower Than A Level,0-10%,0-35,1,60,N,-44,63.22,3,221,26,6.8,24.22,1
234004,FFF,2013,J,M,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,60,N,-33,0,0,44,13,8.6,14.59,1
234031,FFF,2014,J,M,Wales,Lower Than A Level,70-80%,0-35,0,60,N,-124,0,0,37,11,6.7,14.8,1
234068,CCC,2014,B,M,East Anglian Region,Lower Than A Level,80-90%,35-55,0,90,N,-213,0,0,2,1,5.6,20.01,1
234196,FFF,2013,B,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,N,-47,64,1,117,23,6.2,16.41,1
234740,CCC,2014,B,M,West Midlands Region,Lower Than A Level,0-10%,0-35,0,30,N,-26,83.65,4,683,64,7.1,19.62,1
234740,DDD,2013,B,M,West Midlands Region,Lower Than A Level,0-10%,0-35,0,60,N,-23,73.38,13,3964,161,9,15.95,0
234978,DDD,2013,B,M,South Region,A Level or Equivalent,90-100%,0-35,2,130,N,-3,86.6,4,157,29,6,15.25,1
235492,DDD,2013,B,M,North Region,A Level or Equivalent,10-20%,35-55,0,60,N,-24,87.76,3,337,48,9.7,16.22,1
235971,FFF,2014,J,M,West Midlands Region,A Level or Equivalent,10-20%,0-35,0,60,N,-107,87.25,12,3305,128,7.1,19.62,0
237506,DDD,2013,J,M,North Western Region,Lower Than A Level,60-70%,0-35,0,60,N,-73,0,0,51,18,8.5,15.1,1
237921,GGG,2014,J,F,London Region,Lower Than A Level,50-60%,35-55,0,30,N,-22,0,9,2431,68,6.8,24.22,0
238150,FFF,2013,J,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,-61,86,12,10605,191,7.1,11.71,0
240486,DDD,2014,B,M,South Region,A Level or Equivalent,80-90%,35-55,0,60,N,-144,73.25,6,2620,209,5,18.12,0
240884,AAA,2013,J,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,-47,56.4,5,427,48,6,15.25,0
242390,BBB,2014,B,F,London Region,Lower Than A Level,10-20%,0-35,1,60,N,-51,76.55,4,137,17,6.8,24.22,1
242636,FFF,2014,J,M,West Midlands Region,A Level or Equivalent,40-50%,0-35,0,120,N,-109,0,0,23,4,7.1,19.62,1
243372,DDD,2013,J,M,South West Region,A Level or Equivalent,70-80%,35-55,0,75,N,-130,63.99,7,2069,145,6.1,13.66,0
243909,BBB,2013,J,F,South West Region,Lower Than A Level,80-90%,0-35,0,60,N,-32,64,1,42,12,6.1,13.66,1
245802,GGG,2014,B,F,South East Region,A Level or Equivalent,10-20%,35-55,0,30,Y,-54,0,9,859,57,5,20.14,0
246112,FFF,2013,B,M,North Region,A Level or Equivalent,0-10%,0-35,2,120,N,-59,44,1,190,18,9.7,16.22,1
247666,FFF,2013,B,M,North Western Region,A Level or Equivalent,20-30%,0-35,1,60,N,-46,93,11,4912,211,8.5,15.1,0
250644,DDD,2013,J,F,Scotland,HE Qualification,20-30%,0-35,0,90,N,-137,73.33,2,370,40,7.1,11.71,1
252340,BBB,2013,B,F,Scotland,A Level or Equivalent,80-90%,0-35,2,120,Y,-17,76.88,5,200,10,7.1,11.71,1
252652,BBB,2014,B,F,London Region,A Level or Equivalent,50-60%,35-55,2,120,N,10,70.82,10,241,36,6.8,24.22,0
253013,CCC,2014,J,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,-29,74.41,5,2107,71,6.5,18.97,0
253496,CCC,2014,J,M,Wales,Lower Than A Level,0-10%,0-35,0,60,N,-4,41.92,4,510,35,6.7,14.8,1
253633,FFF,2014,J,M,South West Region,Lower Than A Level,30-40%,0-35,0,60,N,-37,82.75,12,3203,120,5.2,16.09,0
253859,CCC,2014,B,M,Scotland,A Level or Equivalent,90-100%,0-35,0,30,N,-45,97.88,9,1588,88,6,14.59,0
255347,BBB,2013,B,F,West Midlands Region,Lower Than A Level,90-100%,0-35,0,60,N,-24,89.34,10,1729,101,9,15.95,0
255449,EEE,2013,J,M,Scotland,A Level or Equivalent,20-30%,0-35,0,60,N,-51,0,0,41,9,7.1,11.71,1
255622,DDD,2013,J,F,South Region,HE Qualification,60-70%,0-35,0,180,N,-23,0,0,96,23,6,15.25,1
257104,FFF,2014,B,F,South Region,Lower Than A Level,50-60%,0-35,0,60,N,-243,53.33,5,1803,101,5,18.12,1
257970,FFF,2013,J,M,East Midlands Region,Lower Than A Level,90-100%,0-35,1,60,N,-79,0,0,15,4,7.9,15.19,1
259951,DDD,2013,J,F,South Region,A Level or Equivalent,70-80%,0-35,0,60,N,-190,55.1,6,283,50,6,15.25,0
260355,AAA,2013,J,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,-186,35,3,426,35,8.9,20.16,1
260951,GGG,2014,J,F,East Anglian Region,No Formal quals,70-80%,0-35,0,30,N,-11,0,0,0,0,5.6,20.01,1
261042,CCC,2014,B,M,London Region,Lower Than A Level,60-70%,0-35,0,120,N,-20,0,0,0,0,6.8,24.22,1
261265,FFF,2014,B,M,East Anglian Region,Lower Than A Level,70-80%,0-35,0,120,N,-43,73.67,11,1321,87,5.6,20.01,0
263862,FFF,2014,J,M,West Midlands Region,A Level or Equivalent,90-100%,35-55,0,60,N,-37,89.5,12,2317,147,7.1,19.62,0
264694,BBB,2014,J,F,Wales,Lower Than A Level,20-30%,0-35,0,60,N,-23,56,3,755,61,6.7,14.8,1
266040,CCC,2014,B,M,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,-52,74.91,2,469,36,5.6,20.01,1
266097,CCC,2014,J,M,London Region,Lower Than A Level,40-50%,35-55,0,30,N,-8,56,1,595,31,6.8,24.22,1
266286,DDD,2013,J,F,South West Region,HE Qualification,70-80%,35-55,0,60,N,-19,61.8,7,2301,209,6.1,13.66,0
268649,FFF,2014,B,M,London Region,Lower Than A Level,60-70%,0-35,0,90,N,-95,81,5,1619,89,6.8,24.22,1
268727,FFF,2014,J,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,120,N,-110,0,0,0,0,7.1,19.62,1
269856,DDD,2014,J,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,-108,64.15,7,1067,85,6.5,18.97,0
271702,FFF,2014,J,M,West Midlands Region,Lower Than A Level,20-30%,0-35,2,120,N,-144,0,0,0,0,7.1,19.62,1
274577,BBB,2013,J,F,South West Region,Lower Than A Level,60-70%,0-35,1,60,N,-145,0,0,0,0,6.1,13.66,1
275112,BBB,2014,B,F,Wales,No Formal quals,0-10%,35-55,3,120,N,-127,1.58,9,527,41,6.7,14.8,1
275792,AAA,2014,J,F,East Anglian Region,HE Qualification,50-60%,0-35,0,60,N,-37,73.6,5,605,46,5.6,20.01,0
276846,FFF,2013,B,M,West Midlands Region,A Level or Equivalent,0-10%,35-55,2,60,N,-60,0,0,0,0,9,15.95,1
277577,FFF,2014,B,F,London Region,A Level or Equivalent,80-90%,35-55,2,120,N,-17,68.5,12,4776,149,6.8,24.22,0
278282,FFF,2013,B,M,West Midlands Region,A Level or Equivalent,40-50%,0-35,0,120,N,-101,84,1,322,39,9,15.95,1
278447,BBB,2013,B,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,-45,81.08,11,511,38,6,16.83,0
278600,CCC,2014,J,M,North Western Region,A Level or Equivalent,60-70%,0-35,0,90,N,-15,56,1,91,11,7,18.58,1
281271,DDD,2013,B,M,Scotland,A Level or Equivalent,30-40%,35-55,0,60,Y,-74,63.53,2,478,84,7.1,11.71,1
